"","SessionID","Period","Subject","Group","node","feedNodes","totalNotSure","feeds","correctAnswer","correctAtFirst","correctAtLast","incorrectAtFirst","idkAtFirst","a1","a2","a3","c1","c2","c3","p1","p2","p3","Iteration","timeOK","answer","right","previousAnswer","change.to.1","change.to.2","change.to.3","change","changesTotal","entry","paidIteration","randomChoice","experiment","options","scoreatfirst","time","correct","score","SessionIDalias","topology"
"1","140822_1152",1,1,1,5,10,0,10,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,"1",3,0,90,1,"right","A","spiral"
"2","140822_1152",1,1,1,5,10,0,10,2,1,1,0,0,0,1,0,3,4,1,0.375,0.5,0.125,2,0,2,1,2,0,0,0,0,0,0,0,0,"1",3,0,22,1,"right","A","spiral"
"3","140822_1152",1,1,1,5,10,0,10,2,1,1,0,0,0,1,0,1,5,1,0.142857142857143,0.714285714285714,0.142857142857143,3,0,2,1,2,0,0,0,0,0,0,0,0,"1",3,0,25,1,"right","A","spiral"
"4","140822_1152",1,1,1,5,10,0,10,2,1,1,0,0,0,1,0,3,5,0,0.375,0.625,0,4,0,2,1,2,0,0,0,0,0,0,0,0,"1",3,0,28,1,"right","A","spiral"
"5","140822_1152",1,1,1,5,10,0,10,2,1,1,0,0,0,1,0,2,5,1,0.25,0.625,0.125,5,0,2,1,2,0,0,0,0,0,0,0,0,"1",3,0,22,1,"right","A","spiral"
"6","140822_1152",1,1,1,5,10,0,10,2,1,1,0,0,0,1,0,3,5,0,0.375,0.625,0,6,0,2,1,2,0,0,0,0,0,0,0,0,"1",3,0,25,1,"right","A","spiral"
"7","140822_1152",1,1,1,5,10,0,10,2,1,1,0,0,0,1,0,2,6,2,0.2,0.6,0.2,7,0,2,1,2,0,0,0,0,0,0,0,0,"1",3,0,25,1,"right","A","spiral"
"8","140822_1152",1,1,1,5,10,0,10,2,1,1,0,0,0,1,0,2,6,1,0.222222222222222,0.666666666666667,0.111111111111111,8,0,2,1,2,0,0,0,0,0,0,0,0,"1",3,0,28,1,"right","A","spiral"
"9","140822_1152",1,1,1,5,10,0,10,2,1,1,0,0,0,1,0,2,7,1,0.2,0.7,0.1,9,0,2,1,2,0,0,0,0,0,0,0,0,"1",3,0,27,1,"right","A","spiral"
"10","140822_1152",1,1,1,5,10,0,10,2,1,1,0,0,0,1,0,2,5,2,0.222222222222222,0.555555555555556,0.222222222222222,10,0,2,1,2,0,0,0,0,0,0,0,0,"1",3,0,25,1,"right","A","spiral"
